SQL> select numc, 0 as rang, vDep as villes, 0 as nbjours --R1
  2  	from agence.lescircuits
  3  union
  4  select numc, 42, varr, 0	--R2
  5  	from agence.lescircuits
  6  union
  7  select numc, rang, vetape, nbjours
  8  	from agence.lesetapes;

      NUMC       RANG VILLES                  NBJOURS                           
        19          1 Rome                          2                           
        19          2 Naples                        1                           

      NUMC       RANG VILLES                  NBJOURS                           
---------- ---------- -------------------- ----------                           
        19          3 Pompei                        1                           
        19          4 Capri                         1                           
        19          5 Salerne                       1                           
        19          6 Cosenza                       2                           
        19          7 Catanzaro                     1                           
        19          8 Metaponto                     1                           
        19          9 Lecce                         1                           
        19         10 Brindisi                      1                           
        19         11 Bari                          2                           
        19         12 Benevento                     2                           
        19         13 Caserte                       2                           

      NUMC       RANG VILLES                  NBJOURS                           
---------- ---------- -------------------- ----------                           
        19         42 Rome                          0                           
        20          0 Briancon                      0                           
        20          1 Briancon                      6                           
        20         42 Briancon                      0                           
        21          0 Paris                         0                           
        21          1 Helsinky                      2                           
        21          2 Ylivieska                     1                           
        21          3 Tornio                        1                           
        21          4 Cap Nord                      1                           
        21          5 Hammerfest                    1                           
        21          6 Inari                         1                           

      NUMC       RANG VILLES                  NBJOURS                           
---------- ---------- -------------------- ----------                           
        21          7 Salla                         1                           
        21          8 Saarijarvi                    2                           
        21          9 Rome                          3                           
        21         10 Florence                      3                           
        21         11 Ravenne                       2                           
        21         12 Verone                        1                           
        21         13 Venise                        3                           
        21         42 Rome                          0                           

151 rows selected.

SQL> spool off;
